File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
ClusterSpec.java,713,151,6,0,2,2,0.20689655172413793,968.8888888888889,344.68536024505084,1
ConfigureClusterAction.java,47,5,5,1,2,1,0.1724137931034483,968.8888888888889,344.68536024505084,1
